Tissue,N_measurements,Zscore_Delta_mean,Zscore_Old_mean,Zscore_Young_mean,FRZB_Loss
Intervertebral_disc_NP,1,-1.0915328644668123,-0.5050986458136612,0.586434218653151,True
Intervertebral_disc_IAF,1,-0.4054682545620861,0.0698763375563293,0.4753445921184154,True
Intervertebral_disc_OAF,1,-0.0761039138604152,0.1604560231111131,0.2365599369715283,True
