Tissue,BM_Mean_Delta,Plasma_Mean_Delta,N_BM_proteins,N_Plasma_proteins
Heart_Native_Tissue,-0.35275538674322754,0.8952752607845472,13,6
Skin dermis,-0.3289859284393259,-0.3020453229188274,17,6
Ovary_Cortex,-0.2856887525242205,0.35029956436698617,12,6
Intervertebral_disc_NP,-0.15289234417567682,2.2082051821930473,10,6
Kidney_Glomerular,-0.059547484296282795,0.043893439499114034,29,8
Intervertebral_disc_OAF,-0.03581151938519689,1.0650080332770482,13,6
Intervertebral_disc_IAF,0.014465861530511317,1.787255454135648,13,6
Kidney_Tubulointerstitial,0.034492125690925135,0.0540520918655003,29,8
