Tissue,TIMP3_Zscore,ECM_Degradation_Score,ECM_Stable_Pct,N_Core_ECM,Protective_Effect
Intervertebral_disc_NP,0.6478449233496578,0.46239667811694524,53.333333333333336,135,-0.46239667811694524
Intervertebral_disc_IAF,0.907393033140784,0.41333618771715336,60.83916083916085,143,-0.41333618771715336
Intervertebral_disc_OAF,1.030801626177056,0.2533173017066251,66.0493827160494,162,-0.2533173017066251
Heart_Native_Tissue,3.141208179502989,0.32162286993173295,76.50602409638554,166,-0.32162286993173295
Skin dermis,1.237967176507091,0.5405033311448435,43.51145038167939,131,-0.5405033311448435
Kidney_Glomerular,-0.5376416720368191,0.23783891868659096,87.3015873015873,126,0.23783891868659096
Kidney_Tubulointerstitial,0.1391028831710835,0.24130028755235644,87.3015873015873,126,-0.24130028755235644
