Insight_ID,Gene_Symbol,Metric,V2_Value,V1_Value
G1,Serpinh1,Universality_Score,0.815503797283894,0.7057111531270162
G1,Col14a1,Universality_Score,0.812459959673928,0.7291050114927817
G1,LRG1,Universality_Score,0.8097528159642009,0.6114537260409437
G1,Pcolce,Universality_Score,0.809146367163826,0.7097885967490158
G1,Serpinf1,Universality_Score,0.8081064110209841,0.6876022741202897
G1,FCN2,Universality_Score,0.7930163173167553,0.21230272387207022
G1,Fbln5,Universality_Score,0.7834776088664339,0.677791492052616
G1,Kera,Universality_Score,0.7748967234909627,0.6675465843334958
G1,Hp,Universality_Score,0.7748687710313795,0.748663326572137
G1,Tfrc,Universality_Score,0.7744019012518354,0.6659271190388069
G1,Myoc,Universality_Score,0.7735281718993798,0.6704020291982191
G1,FMOD,Universality_Score,0.7719545676522395,0.5199502275955289
G1,Fth1,Universality_Score,0.7718110142385124,0.6532396055047707
G1,Epx,Universality_Score,0.7708019322020774,0.6647310241505359
G1,Mfge8,Universality_Score,0.7705120481083381,0.6859726584594903
G1,Itih3,Universality_Score,0.7660826275470952,0.6830682199572168
G1,Ctsd,Universality_Score,0.7628030346613283,0.6797065837578534
G1,Ppt1,Universality_Score,0.7617327411756144,0.6454055968672352
G1,LPA,Universality_Score,0.7616310958344923,0.36994598042263444
G1,VTN,Universality_Score,0.7607202246535145,0.7324036983679243
G2,PCOLCE,Mean_Delta,-1.4123073888251465,-0.6455800267703201
G4,AEBP1,Abs_Mean_Delta,0.4277370021464041,0.34649901325309396
G4,ANXA2,Abs_Mean_Delta,0.3701472285134342,0.36102424985293524
G4,ANXA7,Abs_Mean_Delta,0.33845042421162574,0.4371512113272158
G4,Adipoq,Abs_Mean_Delta,0.3154157038676924,0.16606423838464235
G4,Anxa11,Abs_Mean_Delta,0.3685566586973423,0.10934395283625888
G4,Anxa7,Abs_Mean_Delta,0.3860407261985157,0.10858801078068565
G4,COL16A1,Abs_Mean_Delta,0.34006674579462887,0.15713917419396375
G4,Col18a1,Abs_Mean_Delta,0.34752947308656923,0.10782923144355476
G4,Ecm1,Abs_Mean_Delta,0.3151283654028937,0.1486710929548874
G4,Emilin1,Abs_Mean_Delta,0.3551557910740682,0.1479362523957137
G4,Gpc4,Abs_Mean_Delta,0.3025426704145711,0.10862982217709101
G4,HSPG2,Abs_Mean_Delta,0.449809804984024,0.1435467076878866
G4,Hcfc1,Abs_Mean_Delta,0.3091863279881751,0.09676263868273276
G4,Hpx,Abs_Mean_Delta,0.5717938628962703,0.25471393542323534
G4,Itih4,Abs_Mean_Delta,0.4668659878274696,0.2002277192245922
G4,LAMB2,Abs_Mean_Delta,0.39265543037960754,0.24979627291484524
G4,Lama4,Abs_Mean_Delta,0.43985983722597827,0.16780128971016378
G4,Mmrn2,Abs_Mean_Delta,0.3608683084367258,0.11166254353795867
G4,Plxnb2,Abs_Mean_Delta,0.3511127896015848,0.12563623645204844
G4,Serpina3m,Abs_Mean_Delta,0.5018321976129781,0.22314271543849673
G5,ADAM15,Entropy_Transition,0.5328824217153828,0.952723083744663
G5,ANGPTL2,Entropy_Transition,0.37916243923811926,
G5,ANGPTL5,Entropy_Transition,0.5279072773760294,0.4031161608604778
G5,C17orf58,Entropy_Transition,1.0119924412480088,
G5,C1QTNF7,Entropy_Transition,1.0671413768356823,
G5,CLEC11A,Entropy_Transition,0.5798221066509102,0.4990429411009764
G5,COL10A1,Entropy_Transition,0.6164951124184703,1.1767565387412624
G5,COL4A5,Entropy_Transition,0.39059677059232334,
G5,CXCL14,Entropy_Transition,0.5782334779881826,0.9789939640467187
G5,Cilp,Entropy_Transition,0.38659173910188255,
G5,EFEMP2,Entropy_Transition,0.5604421050308417,0.39216056186089954
G5,FBLN7,Entropy_Transition,0.5334630940915527,
G5,FBN3,Entropy_Transition,1.0757632137666082,
G5,FGL1,Entropy_Transition,0.44662702611899974,1.3612549933274911
G5,FRAS1,Entropy_Transition,0.6931645865212493,0.8086470650954317
G5,FREM1,Entropy_Transition,0.6579045369957283,0.6986378713290894
G5,FREM2,Entropy_Transition,0.6321328148629485,0.4457674079752858
G5,GAS6,Entropy_Transition,0.37498325957076467,
G5,GPC4,Entropy_Transition,0.5235444340283415,1.0847243246501097
G5,HAPLN3,Entropy_Transition,0.5599975834087662,0.4910421804004327
G5,INHBC,Entropy_Transition,0.4579440225903334,0.6830680819839986
G5,LAMC3,Entropy_Transition,0.7214878386026264,0.8266899565898187
G5,MATN4,Entropy_Transition,0.5644332410035863,0.47168407638319076
G5,MEGF6,Entropy_Transition,0.5127200843781884,
G5,MMP14,Entropy_Transition,0.7315992778013203,
G5,NGLY1,Entropy_Transition,0.996184114136793,
G5,P3H3,Entropy_Transition,0.497926989671091,
G5,PLXDC2,Entropy_Transition,0.5652632384247148,0.44965665343444516
G5,PLXNB2,Entropy_Transition,0.6598777886887971,
G5,PRG4,Entropy_Transition,0.5732080985243169,0.5005579816890994
G6,Col11a2,Divergence,6.119330565024698,2.635738583796691
G6,Col2a1,Divergence,4.983283264824166,2.1182816445586328
G6,Fbn2,Divergence,4.843974217310353,2.0029289504514716
G6,Cilp2,Divergence,4.596180034216589,2.018653525792865
G6,Postn,Divergence,4.475834093328855,1.973766340683675
G6,LMAN1,Divergence,4.031843549331862,
G6,Ces1d,Divergence,3.9521574562884045,1.5613578496290321
